Fuel Type,Body Type,Kilometers Driven,Transmission Type,Number of Owners,Manufacturer,Model,Model Year,Variant ID,Variant Name,Price,Location,Registration_Year,Insurance Validity,Seats,RTO,Engine Displacement,Transmission,Mileage,Engine,Max Power,Torque,Color,Engine Type,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Supply System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,Alloy Wheel Size
Petrol,SUV,32706.0,Manual,2.0,Ford,Ford Ecosport,2018.0,6087.0,1.5 Petrol Titanium BSIV,811000.0,bangalore,2018.0,Comprehensive,5.0,KA05,1497.0,Manual,17.0,1497.0,121.31,150.0,White,Ti-VCT Petrol Engine,3.0,4.0,DOHC,Direct Injection,No,No,3998.0,1765.0,1647.0,2519.0,1242.0,1660.0,5.0,FWD,Power,Ventilated Disc,Drum,172.0,12.9,"Tubeless,Radial",4.0,352.0,16.0,16.0
Petrol,Sedan,17794.0,Manual,1.0,Hyundai,Hyundai Xcent,2014.0,1867.0,1.2 Kappa S Option,462000.0,bangalore,2014.0,Comprehensive,5.0,KA53,1197.0,Manual,19.1,1197.0,81.86,113.75,Others,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,Direct Injection,No,No,3995.0,1660.0,1520.0,2425.0,1180.0,1520.0,5.0,FWD ,Power,Disc ,Drum,172.0,14.2,"Tubeless,Radial",4.0,407.0,14.0,14.0
Petrol,SUV,30000.0,Automatic,1.0,Hyundai,Hyundai Venue,2021.0,6946.0,SX Plus Turbo DCT BSIV,1200000.0,bangalore,2021.0,Third Party insurance,5.0,KA51,998.0,Automatic,18.15,998.0,118.35,171.6,Others,Default,3.0,4.0,Default,GDi,Yes,Default,3995.0,1770.0,1605.0,2500.0,1440.0,1520.0,7.0,FWD,Power,Disc,Drum,172.0,12.9,Radial,5.0,350.0,16.0,16.0
Petrol,Hatchback,50000.0,Manual,1.0,Maruti,Maruti Baleno,2018.0,3962.0,1.2 Delta,690000.0,bangalore,2018.0,Third Party insurance,5.0,KA03,1197.0,Manual,21.4,1197.0,83.1,115.0,Red,VVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3995.0,1745.0,1510.0,2520.0,870.0,1340.0,5.0,FWD,Power,Disc,Drum,180.0,12.36,"Tubeless,Radial",5.0,339.0,16.0,16.0
Petrol,Hatchback,24887.0,Automatic,1.0,Hyundai,Hyundai Grand i10,2019.0,5606.0,1.2 Kappa Sportz Option AT,682000.0,bangalore,2019.0,Third Party insurance,5.0,KA51,1197.0,Automatic,18.9,1197.0,81.86,113.75,Orange,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3765.0,1660.0,1520.0,2425.0,1200.0,1520.0,4.0,FWD,Power,Disc,Drum,165.0,12.9,Tubeless,5.0,256.0,14.0,14.0
Petrol,Hatchback,23000.0,Automatic,1.0,Honda,Honda Jazz,2018.0,6506.0,VX CVT,825000.0,bangalore,2018.0,Comprehensive,5.0,KA03,1199.0,Automatic,18.2,1199.0,88.7,110.0,Grey,i-VTEC Petrol Engine,4.0,4.0,SOHC,PGM - Fi,No,No,3955.0,1694.0,1544.0,2530.0,1066.0,1520.0,5.0,FWD,Power,Disc,Drum,172.0,13.7,"Tubeless,Radial",5.0,354.0,15.0,15.0
Diesel,Hatchback,65376.0,Manual,2.0,Hyundai,Hyundai i20,2014.0,1657.0,Asta 1.4 CRDi,521000.0,bangalore,2014.0,Comprehensive,5.0,KA41,1396.0,Manual,21.27,1396.0,88.76,219.6,Blue,U2 CRDI Diesel Engine,4.0,4.0,DOHC,CRDI,No,No,3995.0,1710.0,1505.0,2525.0,1120.0,1520.0,6.0,FWD,Power,Disc,Disc,172.0,12.9,"Tubeless,Radial",5.0,350.0,14.0,14.0
Petrol,SUV,10000.0,Manual,1.0,Tata,Tata Nexon,2022.0,9207.0,XM Plus S BSVI,1005000.0,bangalore,2022.0,Third Party insurance,5.0,KA02,1199.0,Manual,17.33,1199.0,118.35,170.0,Others,1.2l Turbocharged Revotron Engine,3.0,4.0,Default,Default,NO,Default,3993.0,1811.0,1606.0,2498.0,1315.0,1520.0,6.0,FWD,Electric,Disc,Drum,172.0,12.9,"Tubeless,Radial",5.0,350.0,16.0,16.0
Petrol,Hatchback,18083.0,Manual,1.0,Maruti,Maruti Swift,2016.0,10403.0,VXI,582000.0,bangalore,2016.0,Comprehensive,5.0,KA04,1197.0,Manual,22.38,1197.0,88.5,113.0,Silver,K Series Dual jet,4.0,4.0,Default,Default,Default,Default,3845.0,1735.0,1530.0,2450.0,23937.0,1335.0,5.0,FWD,Electric,Disc,Drum,172.0,12.9,"Radial, Tubeless",5.0,268.0,16.0,16.0
Petrol,Hatchback,23447.0,Automatic,1.0,Hyundai,Hyundai Santro,2018.0,6670.0,Sportz AMT BSIV,570000.0,bangalore,2018.0,Comprehensive,5.0,KA04,1086.0,Automatic,20.3,1086.0,68.0,99.0,Yellow,1.1 litre Petrol Engine,4.0,3.0,DOHC,MPFI,No,No,3610.0,1645.0,1560.0,2400.0,1050.0,1520.0,5.0,FWD,Power,Disc,Drum,172.0,12.9,"Tubeless,Radial",5.0,235.0,16.0,16.0
